&	POLISH ZLOTY TO EURO 	YLD_YTM_BID
01 Jan 2013	4.0803	3.736
02 Jan 2013	4.0705	3.819
03 Jan 2013	4.0865	3.923
04 Jan 2013	4.12035	3.947
07 Jan 2013	4.12585	3.888
08 Jan 2013	4.1251	3.773
09 Jan 2013	4.0842	3.823
10 Jan 2013	4.0914	3.912
11 Jan 2013	4.11705	4.027
14 Jan 2013	4.1194	3.983
15 Jan 2013	4.1173	4.036
16 Jan 2013	4.12295	4.022
17 Jan 2013	4.1216	3.975
18 Jan 2013	4.1617	3.96
21 Jan 2013	4.1653	3.946
22 Jan 2013	4.17285	3.941
23 Jan 2013	4.1742	3.837
24 Jan 2013	4.1911	3.837
25 Jan 2013	4.1754	3.933
28 Jan 2013	4.199	3.977
29 Jan 2013	4.1944	3.94
30 Jan 2013	4.19565	3.965
31 Jan 2013	4.20325	3.931
01 Feb 2013	4.1653	3.894
04 Feb 2013	4.16895	3.928
05 Feb 2013	4.174	3.93
06 Feb 2013	4.17015	3.998
07 Feb 2013	4.17575	3.997
08 Feb 2013	4.14925	3.994
11 Feb 2013	4.16075	4.045
12 Feb 2013	4.18275	4.067
13 Feb 2013	4.15285	4.08
14 Feb 2013	4.1737	4.082
15 Feb 2013	4.18095	4.057
18 Feb 2013	4.18845	4.021
19 Feb 2013	4.16865	4.027
20 Feb 2013	4.1575	4.057
21 Feb 2013	4.1555	3.994
22 Feb 2013	4.1635	4.01
25 Feb 2013	4.14525	4.045
26 Feb 2013	4.16825	3.994
27 Feb 2013	4.1664	3.985
28 Feb 2013	4.15025	3.979
01 Mar 2013	4.132	3.986
04 Mar 2013	4.1382	3.98
05 Mar 2013	4.125	4.049
06 Mar 2013	4.1464	3.998
07 Mar 2013	4.14705	4.027
08 Mar 2013	4.1295	3.987
11 Mar 2013	4.14335	4.021
12 Mar 2013	4.13855	3.994
13 Mar 2013	4.14025	3.913
14 Mar 2013	4.15525	3.897
15 Mar 2013	4.1438	3.845
18 Mar 2013	4.1497	3.84
19 Mar 2013	4.15895	3.908
20 Mar 2013	4.17425	3.953
21 Mar 2013	4.18685	3.965
22 Mar 2013	4.17695	3.841
25 Mar 2013	4.1628	3.881
26 Mar 2013	4.1783	3.859
27 Mar 2013	4.18115	3.889
28 Mar 2013	4.17645	3.939
29 Mar 2013	4.17645	3.939
01 Apr 2013	4.17705	3.939
02 Apr 2013	4.18895	3.869
03 Apr 2013	4.19385	3.845
04 Apr 2013	4.186	3.776
05 Apr 2013	4.1575	3.633
08 Apr 2013	4.12105	3.503
09 Apr 2013	4.12145	3.593
10 Apr 2013	4.0985	3.525
11 Apr 2013	4.11155	3.593
12 Apr 2013	4.104	3.559
15 Apr 2013	4.10105	3.525
16 Apr 2013	4.11275	3.547
17 Apr 2013	4.1076	3.497
18 Apr 2013	4.11255	3.455
19 Apr 2013	4.1013	3.423
22 Apr 2013	4.11135	3.379
23 Apr 2013	4.13215	3.368
24 Apr 2013	4.15175	3.394
25 Apr 2013	4.1494	3.412
26 Apr 2013	4.1595	3.367
29 Apr 2013	4.1383	3.315
30 Apr 2013	4.16555	3.256
01 May 2013	4.169	3.256
02 May 2013	4.1368	3.144
03 May 2013	4.15025	3.137
06 May 2013	4.1539	3.181
07 May 2013	4.14145	3.254
08 May 2013	4.13565	3.104
09 May 2013	4.12265	3.067
10 May 2013	4.14995	3.147
13 May 2013	4.16475	3.199
14 May 2013	4.16705	3.202
15 May 2013	4.1878	3.246
16 May 2013	4.18425	3.236
17 May 2013	4.1777	3.234
20 May 2013	4.1842	3.306
21 May 2013	4.187	3.342
22 May 2013	4.18475	3.295
23 May 2013	4.20375	3.475
24 May 2013	4.1957	3.405
27 May 2013	4.1953	3.416
28 May 2013	4.1908	3.452
29 May 2013	4.24125	3.519
30 May 2013	4.284	3.519
31 May 2013	4.2787	3.578
03 Jun 2013	4.2565	3.508
04 Jun 2013	4.22875	3.481
05 Jun 2013	4.2737	3.593
06 Jun 2013	4.3109	3.718
07 Jun 2013	4.23375	3.734
10 Jun 2013	4.27085	3.915
11 Jun 2013	4.2805	3.973
12 Jun 2013	4.255	3.9
13 Jun 2013	4.241	3.843
14 Jun 2013	4.22975	3.719
17 Jun 2013	4.22885	3.752
18 Jun 2013	4.2605	3.867
19 Jun 2013	4.25895	3.859
20 Jun 2013	4.34075	4.263
21 Jun 2013	4.34795	4.411
24 Jun 2013	4.34245	4.558
25 Jun 2013	4.33475	4.4
26 Jun 2013	4.34455	4.313
27 Jun 2013	4.334	4.241
28 Jun 2013	4.33025	4.341
01 Jul 2013	4.33125	4.306
02 Jul 2013	4.3346	4.119
03 Jul 2013	4.31375	4.094
04 Jul 2013	4.2759	3.943
05 Jul 2013	4.3123	3.993
08 Jul 2013	4.3148	3.95
09 Jul 2013	4.32425	3.87
10 Jul 2013	4.32715	3.927
11 Jul 2013	4.32675	3.946
12 Jul 2013	4.2982	3.89
15 Jul 2013	4.2905	3.918
16 Jul 2013	4.246	3.926
17 Jul 2013	4.2475	4.018
18 Jul 2013	4.24665	3.933
19 Jul 2013	4.23775	3.875
22 Jul 2013	4.2123	3.79
23 Jul 2013	4.2082	3.915
24 Jul 2013	4.22095	4.007
25 Jul 2013	4.2407	4.044
26 Jul 2013	4.23675	3.988
29 Jul 2013	4.21115	3.987
30 Jul 2013	4.2279	4.029
31 Jul 2013	4.25325	4.082
01 Aug 2013	4.2579	4.185
02 Aug 2013	4.22945	4.16
05 Aug 2013	4.2173	4.218
06 Aug 2013	4.2078	4.176
07 Aug 2013	4.2135	4.153
08 Aug 2013	4.18975	4.146
09 Aug 2013	4.1865	4.124
12 Aug 2013	4.19035	4.136
13 Aug 2013	4.19685	4.229
14 Aug 2013	4.2049	4.267
15 Aug 2013	4.2355	4.282
16 Aug 2013	4.22455	4.351
19 Aug 2013	4.24745	4.483
20 Aug 2013	4.22775	4.36
21 Aug 2013	4.24105	4.467
22 Aug 2013	4.2452	4.517
23 Aug 2013	4.222	4.491
26 Aug 2013	4.227	4.421
27 Aug 2013	4.24795	4.423
28 Aug 2013	4.28795	4.496
29 Aug 2013	4.28315	4.487
30 Aug 2013	4.26925	4.446
02 Sep 2013	4.2548	4.495
03 Sep 2013	4.2765	4.656
04 Sep 2013	4.2747	4.785
05 Sep 2013	4.29165	4.858
06 Sep 2013	4.28185	4.813
09 Sep 2013	4.2713	4.655
10 Sep 2013	4.243	4.719
11 Sep 2013	4.21625	4.573
12 Sep 2013	4.21245	4.538
13 Sep 2013	4.2073	4.481
16 Sep 2013	4.19375	4.401
17 Sep 2013	4.2108	4.443
18 Sep 2013	4.2292	4.442
19 Sep 2013	4.18985	4.3
20 Sep 2013	4.22595	4.341
23 Sep 2013	4.2255	4.33
24 Sep 2013	4.23015	4.312
25 Sep 2013	4.21825	4.356
26 Sep 2013	4.23225	4.418
27 Sep 2013	4.2237	4.416
30 Sep 2013	4.2254	4.477
01 Oct 2013	4.216	4.448
02 Oct 2013	4.21115	4.406
03 Oct 2013	4.20325	4.395
04 Oct 2013	4.2045	4.42
07 Oct 2013	4.1944	4.394
08 Oct 2013	4.18715	4.413
09 Oct 2013	4.1969	4.41
10 Oct 2013	4.18855	4.451
11 Oct 2013	4.19345	4.453
14 Oct 2013	4.1829	4.373
15 Oct 2013	4.17325	4.328
16 Oct 2013	4.16505	4.33
17 Oct 2013	4.1712	4.263
18 Oct 2013	4.17275	4.23
21 Oct 2013	4.17275	4.3
22 Oct 2013	4.16365	4.236
23 Oct 2013	4.179	4.213
24 Oct 2013	4.17865	4.099
25 Oct 2013	4.18095	4.148
28 Oct 2013	4.1792	4.099
29 Oct 2013	4.1844	4.124
30 Oct 2013	4.17	4.128
31 Oct 2013	4.18295	4.188
01 Nov 2013	4.19735	4.187
04 Nov 2013	4.1798	4.235
05 Nov 2013	4.18375	4.325
06 Nov 2013	4.1715	4.307
07 Nov 2013	4.1823	4.227
08 Nov 2013	4.1918	4.301
11 Nov 2013	4.2142	4.301
12 Nov 2013	4.20715	4.43
13 Nov 2013	4.19725	4.365
14 Nov 2013	4.19105	4.326
15 Nov 2013	4.18715	4.378
18 Nov 2013	4.1752	4.373
19 Nov 2013	4.1775	4.378
20 Nov 2013	4.18625	4.431
21 Nov 2013	4.1953	4.443
22 Nov 2013	4.197	4.43
25 Nov 2013	4.1955	4.443
26 Nov 2013	4.2039	4.456
27 Nov 2013	4.20425	4.51
28 Nov 2013	4.1988	4.535
29 Nov 2013	4.2018	4.516
02 Dec 2013	4.20125	4.548
03 Dec 2013	4.202	4.562
04 Dec 2013	4.19935	4.576
05 Dec 2013	4.19165	4.59
06 Dec 2013	4.1831	4.549
09 Dec 2013	4.1852	4.451
10 Dec 2013	4.1805	4.432
11 Dec 2013	4.1817	4.447
12 Dec 2013	4.1828	4.475
13 Dec 2013	4.17935	4.449
16 Dec 2013	4.1771	4.384
17 Dec 2013	4.18025	4.371
18 Dec 2013	4.1825	4.31
19 Dec 2013	4.16645	4.322
20 Dec 2013	4.15865	4.318
23 Dec 2013	4.1576	4.29
24 Dec 2013	4.14155	4.29
25 Dec 2013	4.14155	4.29
26 Dec 2013	4.13925	4.29
27 Dec 2013	4.148	4.316
30 Dec 2013	4.14675	4.347
31 Dec 2013	4.1579	4.347
01 Jan 2014	4.1579	4.347
02 Jan 2014	4.1659	4.422
03 Jan 2014	4.17	4.474
06 Jan 2014	4.1759	4.472
07 Jan 2014	4.17675	4.465
08 Jan 2014	4.1758	4.474
09 Jan 2014	4.1774	4.487
10 Jan 2014	4.1636	4.424
13 Jan 2014	4.1535	4.363
14 Jan 2014	4.1445	4.387
15 Jan 2014	4.15905	4.396
16 Jan 2014	4.1685	4.363
17 Jan 2014	4.16335	4.336
20 Jan 2014	4.1599	4.332
21 Jan 2014	4.16495	4.368
22 Jan 2014	4.16215	4.363
23 Jan 2014	4.1793	4.35
24 Jan 2014	4.20455	4.418
27 Jan 2014	4.2078	4.485
28 Jan 2014	4.20125	4.428
29 Jan 2014	4.21755	4.555
30 Jan 2014	4.2295	4.622
31 Jan 2014	4.25095	4.736
03 Feb 2014	4.2385	4.67
04 Feb 2014	4.2184	4.587
05 Feb 2014	4.18975	4.557
06 Feb 2014	4.1795	4.479
07 Feb 2014	4.17775	4.423
10 Feb 2014	4.17835	4.434
11 Feb 2014	4.1741	4.48
12 Feb 2014	4.15825	4.528
13 Feb 2014	4.161	4.541
14 Feb 2014	4.148	4.499
17 Feb 2014	4.1418	4.488
18 Feb 2014	4.15	4.487
19 Feb 2014	4.16825	4.533
20 Feb 2014	4.1685	4.522
21 Feb 2014	4.15615	4.437
24 Feb 2014	4.157	4.411
25 Feb 2014	4.1493	4.417
26 Feb 2014	4.16825	4.428
27 Feb 2014	4.1694	4.386
28 Feb 2014	4.17175	4.389
03 Mar 2014	4.2012	4.418
04 Mar 2014	4.1893	4.366
05 Mar 2014	4.1865	4.204
06 Mar 2014	4.17625	4.215
07 Mar 2014	4.2037	4.279
10 Mar 2014	4.2153	4.241
11 Mar 2014	4.22175	4.262
12 Mar 2014	4.22805	4.256
13 Mar 2014	4.23425	4.297
14 Mar 2014	4.23505	4.295
17 Mar 2014	4.2261	4.255
18 Mar 2014	4.2097	4.216
19 Mar 2014	4.1981	4.243
20 Mar 2014	4.20145	4.322
21 Mar 2014	4.20025	4.282
24 Mar 2014	4.199	4.256
25 Mar 2014	4.18955	4.26
26 Mar 2014	4.18	4.232
27 Mar 2014	4.16525	4.218
28 Mar 2014	4.17225	4.213
31 Mar 2014	4.16425	4.232
01 Apr 2014	4.1784	4.222
02 Apr 2014	4.17235	4.256
03 Apr 2014	4.16275	4.224
04 Apr 2014	4.16075	4.13
07 Apr 2014	4.1725	4.087
08 Apr 2014	4.1682	4.062
09 Apr 2014	4.16935	4.076
10 Apr 2014	4.1714	4.015
11 Apr 2014	4.18095	4.043
14 Apr 2014	4.178	4.054
15 Apr 2014	4.19495	4.111
16 Apr 2014	4.1951	4.118
17 Apr 2014	4.1861	4.118
18 Apr 2014	4.1861	4.118
21 Apr 2014	4.1818	4.118
22 Apr 2014	4.19115	4.129
23 Apr 2014	4.1914	4.116
24 Apr 2014	4.198	4.113
25 Apr 2014	4.21125	4.122
28 Apr 2014	4.2074	4.12
29 Apr 2014	4.1994	4.122
30 Apr 2014	4.1978	4.027
01 May 2014	4.193	4.033
02 May 2014	4.20575	4.016
05 May 2014	4.2046	4.03
06 May 2014	4.19975	4.024
07 May 2014	4.1905	3.922
08 May 2014	4.1844	3.854
09 May 2014	4.18125	3.883
12 May 2014	4.1819	3.898
13 May 2014	4.1806	3.83
14 May 2014	4.18955	3.734
15 May 2014	4.19275	3.764
16 May 2014	4.18585	3.771
19 May 2014	4.18895	3.798
20 May 2014	4.18715	3.896
21 May 2014	4.1797	3.805
22 May 2014	4.16975	3.773173064
23 May 2014	4.1552	3.773173064
26 May 2014	4.16595	3.691115011
27 May 2014	4.15815	3.699899814
28 May 2014	4.15425	3.6658587
29 May 2014	4.14325	3.621834853
30 May 2014	4.135	3.669352656
02 Jun 2014	4.1395	3.677538496
03 Jun 2014	4.1508	3.699400678
04 Jun 2014	4.1378	3.66286388
05 Jun 2014	4.13725	3.63720826
06 Jun 2014	4.09425	3.4988476
09 Jun 2014	4.10365	3.502641038
10 Jun 2014	4.11125	3.533687333
11 Jun 2014	4.11305	3.533587506
12 Jun 2014	4.11055	3.543170928
13 Jun 2014	4.11995	3.501143628
16 Jun 2014	4.14275	3.536981635
17 Jun 2014	4.1409	3.572719814
18 Jun 2014	4.13945	3.56653052
&title=To come	 	 
"&subtitle=Left - Zlotys per Ã„/Right - Polish 10-year government bond yield (local currency, bid rate, %)"
&source=Bloomberg
&comment=Line chart
&doublescale=1
&accumulate=false
